test_name,step_index,expected_step,prompt,planned_element,planned_action_type,planned_selector,execution_action_type,execution_selector,execution_status,execution_success,is_expected_step,selector_attempts,locator_mismatch,skipped_auto,suspected_hallucination
"Add_three_todos_('Todo_1',_'To",0,Fill the 'What needs to be done?' input field with 'Todo 1',Fill the 'What needs to be done?' input field with 'Todo 1',textbox,fill,"getByRole('textbox', {name: 'What needs to be done?'})",fill,"getByRole('textbox', {name: 'What needs to be done?'})",success,True,True,1,False,False,False
"Add_three_todos_('Todo_1',_'To",1,Press Enter to submit the todo,Press Enter to submit the todo,textbox,press_key,"getByRole('textbox', {name: 'What needs to be done?'})",press_key,"getByRole('textbox', {name: 'What needs to be done?'})",success,True,True,1,False,False,False
"Add_three_todos_('Todo_1',_'To",2,Fill the 'What needs to be done?' input field with 'Todo 2',Fill the 'What needs to be done?' input field with 'Todo 2',textbox,fill,"getByRole('textbox', {name: 'What needs to be done?'})",fill,"getByRole('textbox', {name: 'What needs to be done?'})",success,True,True,1,False,False,False
"Add_three_todos_('Todo_1',_'To",3,Press Enter to submit the todo,Fill the 'What needs to be done?' input field with 'Todo 3',textbox,fill,"getByRole('textbox', {name: 'What needs to be done?'})",fill,"getByRole('textbox', {name: 'What needs to be done?'})",success,True,True,1,False,False,False
"Add_three_todos_('Todo_1',_'To",4,Fill the 'What needs to be done?' input field with 'Todo 3',Mark 'Todo 1' as completed by clicking its checkbox.,textbox,check,"locator('input[type=""checkbox""][value=""on""]')",check,"locator('input[type=""checkbox""][value=""on""]')",failed,False,True,1,False,False,True
"Add_three_todos_('Todo_1',_'To",5,Press Enter to submit the todo,Mark 'Todo 1' as completed by clicking its checkbox.,element,check,getByText('Todo 1').locator('..').locator('.toggle'),check,getByText('Todo 1').locator('..').locator('.toggle'),failed,False,True,2,False,False,True
"Add_three_todos_('Todo_1',_'To",6,Mark 'Todo 1' as completed by clicking its checkbox.,Mark 'Todo 1' as completed by clicking its checkbox.,checkbox,check,"getByRole('checkbox', {name: 'Toggle Todo'})",check,"getByRole('checkbox', {name: 'Toggle Todo'})",success,True,True,3,False,False,True
"Add_three_todos_('Todo_1',_'To",7,Mark 'Todo 3' as completed by clicking its checkbox,Mark 'Todo 3' as completed by clicking its checkbox,textbox,check,"locator('input[type=""checkbox""][value=""on""]')",check,"locator('input[type=""checkbox""][value=""on""]')",failed,False,True,3,False,False,True
"Add_three_todos_('Todo_1',_'To",8,Click the 'Clear completed' button,Mark 'Todo 3' as completed by clicking its checkbox,checkbox,check,"getByRole('checkbox', {name: 'Toggle Todo'}).nth(2)",check,"getByRole('checkbox', {name: 'Toggle Todo'}).nth(2)",failed,False,True,4,False,False,True
"Add_three_todos_('Todo_1',_'To",9,Click 'Active' filter ,Mark 'Todo 3' as completed by clicking its checkbox,checkbox,check,getByText('Todo 3').locator('..').getByRole('checkbox'),check,getByText('Todo 3').locator('..').getByRole('checkbox'),failed,False,True,5,False,False,True
"Add_three_todos_('Todo_1',_'To",10,,Mark 'Todo 3' as completed by clicking its checkbox,textbox,check,"getByText('Todo 3').locator('..').locator('input[type=""checkbox""]')",check,"locator('input[type=""checkbox""]')",success,True,True,6,True,False,True
"Add_three_todos_('Todo_1',_'To",11,,Click the 'Clear completed' button,button,click,"getByRole('button', {name: 'Clear completed'})",click,"getByRole('button', {name: 'Clear completed'})",success,True,True,6,False,False,True
