Test_Name,Test_Model,Evaluator_Model,Overall_Score,Scenario_Code_Alignment,Code_Structure,Selector_Quality,Best_Practices,Alignment_Percentage,Is_Well_Aligned
change_language,deepseek,DeepSeek,4.2,5,4.0,4.0,4.0,100.0,True
change_language,deepseek,OpenAI,4.5,5,4.5,4.0,4.5,100.0,True
change_role,deepseek,DeepSeek,3.5,4,4.0,3.0,3.0,85.0,True
change_role,deepseek,OpenAI,4.5,5,4.0,5.0,4.0,100.0,True
navigate,deepseek,DeepSeek,5.0,5,5.0,5.0,5.0,100.0,True
navigate,deepseek,OpenAI,5.0,5,5.0,5.0,5.0,100.0,True
delete_category,deepseek,DeepSeek,3.2,3,4.0,3.0,3.0,65.0,False
delete_category,deepseek,OpenAI,4.2,4,5.0,4.0,4.0,100.0,True
change_category_description,deepseek,DeepSeek,3.5,4,4.0,3.0,3.0,85.0,True
change_category_description,deepseek,OpenAI,4.2,5,4.0,4.0,4.0,100.0,True
create_content,deepseek,DeepSeek,4.2,5,4.0,4.0,4.0,100.0,True
create_content,deepseek,OpenAI,4.5,5,4.5,4.5,4.0,100.0,True
add_new_category_with_save,deepseek,DeepSeek,4.2,5,4.0,4.0,4.0,100.0,True
add_new_category_with_save,deepseek,OpenAI,4.5,5,4.0,5.0,4.0,100.0,True
add_new_category,deepseek,DeepSeek,3.5,4,4.0,3.0,3.0,85.0,True
add_new_category,deepseek,OpenAI,4.2,4,5.0,4.0,4.0,100.0,True
add_editor,deepseek,DeepSeek,3.2,3,4.0,3.0,3.0,65.0,False
add_editor,deepseek,OpenAI,4.2,5,4.0,4.0,4.0,100.0,True
navigate_login,deepseek,DeepSeek,2.5,2,3.0,3.0,3.0,40.0,False
navigate_login,deepseek,OpenAI,3.5,4,4.0,3.0,3.0,90.0,True
edit_content,deepseek,DeepSeek,3.5,3,4.0,4.0,3.0,70.0,False
edit_content,deepseek,OpenAI,4.0,4,4.0,4.0,4.0,89.0,True
update_description,deepseek,DeepSeek,3.5,4,4.0,3.0,3.0,85.0,True
update_description,deepseek,OpenAI,4.5,5,4.0,5.0,4.0,100.0,True
add_new_content_with_category,deepseek,DeepSeek,3.5,4,4.0,3.0,3.0,85.0,True
add_new_content_with_category,deepseek,OpenAI,4.2,4,4.0,5.0,4.0,87.5,True
remember_me,deepseek,DeepSeek,3.5,4,4.0,3.0,3.0,87.5,True
remember_me,deepseek,OpenAI,4.3,5,4.0,4.0,4.0,100.0,True
change_title,deepseek,DeepSeek,3.8,4,4.0,4.0,3.0,90.0,True
change_title,deepseek,OpenAI,4.5,5,4.5,4.5,4.0,100.0,True
delete_content,deepseek,DeepSeek,2.8,2,4.0,3.0,3.0,60.0,False
delete_content,deepseek,OpenAI,3.8,4,4.0,4.0,3.0,100.0,True
change_language,openai,DeepSeek,4.2,5,4.0,4.0,4.0,100.0,True
change_language,openai,OpenAI,4.5,5,4.0,5.0,4.0,100.0,True
change_role,openai,DeepSeek,3.5,4,4.0,3.0,3.0,85.0,True
change_role,openai,OpenAI,4.5,5,4.5,4.5,4.0,100.0,True
navigate,openai,DeepSeek,3.5,4,4.0,3.0,4.0,80.0,True
navigate,openai,OpenAI,4.5,5,5.0,4.0,4.0,100.0,True
delete_category,openai,DeepSeek,3.5,4,4.0,3.0,3.0,85.0,True
delete_category,openai,OpenAI,4.5,5,4.0,5.0,4.0,100.0,True
change_category_description,openai,DeepSeek,3.5,4,4.0,3.0,3.0,85.0,True
change_category_description,openai,OpenAI,4.5,5,4.5,4.0,4.5,100.0,True
create_content,openai,DeepSeek,4.2,5,4.0,4.0,4.0,100.0,True
create_content,openai,OpenAI,4.3,5,4.0,4.0,4.0,100.0,True
add_new_category_with_save,openai,DeepSeek,4.2,5,4.0,4.0,4.0,100.0,True
add_new_category_with_save,openai,OpenAI,4.5,5,4.0,5.0,4.0,100.0,True
add_new_category,openai,DeepSeek,4.2,5,4.0,4.0,4.0,100.0,True
add_new_category,openai,OpenAI,4.5,5,5.0,4.0,4.0,100.0,True
add_editor,openai,DeepSeek,3.5,4,4.0,3.0,3.0,85.0,True
add_editor,openai,OpenAI,4.5,5,4.0,4.5,4.5,100.0,True
navigate_login,openai,DeepSeek,3.5,4,4.0,3.0,3.0,67.0,True
navigate_login,openai,OpenAI,4.0,5,4.0,4.0,4.0,100.0,True
edit_content,openai,DeepSeek,4.2,4,5.0,4.0,4.0,90.0,True
edit_content,openai,OpenAI,4.2,5,4.0,4.0,4.0,100.0,True
update_description,openai,DeepSeek,4.0,4,5.0,4.0,4.0,90.0,True
update_description,openai,OpenAI,4.3,5,4.0,4.0,4.0,100.0,True
add_new_content_with_category,openai,DeepSeek,4.2,5,4.0,4.0,4.0,100.0,True
add_new_content_with_category,openai,OpenAI,4.5,5,4.0,5.0,4.0,100.0,True
remember_me,openai,DeepSeek,4.2,5,4.0,4.0,4.0,100.0,True
remember_me,openai,OpenAI,4.5,5,4.5,4.5,4.0,100.0,True
change_title,openai,DeepSeek,4.2,5,4.0,4.0,4.0,100.0,True
change_title,openai,OpenAI,4.5,5,4.5,4.5,4.0,100.0,True
delete_content,openai,DeepSeek,2.8,2,4.0,3.0,3.0,60.0,False
delete_content,openai,OpenAI,4.0,4,4.0,4.0,4.0,90.0,True
