test_name,step_index,expected_steps,prompt,planned_element,planned_action_type,planned_selector,execution_action_type,execution_selector,execution_status,execution_success,is_expected_step,selector_attempts,locator_mismatch,skipped_auto,suspected_hallucination
add new content with category,0,Fill the username field with 'admin',Fill the username field with 'admin',textbox,fill,"getByRole('textbox', {name: 'Username'})",fill,"getByRole('textbox', {name: 'Username'})",success,True,True,1,False,False,False
add new content with category,1,Fill the password field with 'admin1',Fill the password field with 'admin1',textbox,fill,"getByRole('textbox', {name: 'Password'})",fill,"getByRole('textbox', {name: 'Password'})",success,True,True,1,False,False,False
add new content with category,2,Check the 'Remember me' checkbox,Check the 'Remember me' checkbox,checkbox,check,"getByRole('checkbox', {name:'Remember me'})",check,"getByRole('checkbox', {name:'Remember me'})",success,True,True,1,False,False,False
add new content with category,3,Click the 'Login' button,Click the 'Login' button,button,click,locator('form').locator('button.btn'),click,locator('form').locator('button.btn'),success,True,True,1,False,False,False
add new content with category,4,Click the new content link,Click the 'New content' link in the sidebar to start creating new content.,link,click,"getByRole('link', {name: 'New content'})",click,"getByRole('link', {name: 'New content'})",success,True,True,1,False,False,False
add new content with category,5,"Fill the title field with 'How to write thesis""",Fill the title field with 'How to write thesis',textbox,fill,"getByRole('textbox', {name:'Enter title'})",fill,"getByRole('textbox', {name:'Enter title'})",success,True,True,1,False,False,False
add new content with category,6,Write something in the content field within the rich text editor.,Write something in the content field within the rich text editor.,frame_body,fill,locator('#jseditor_ifr').contentLocator('body'),fill,locator('#jseditor_ifr').contentLocator('body'),success,True,True,1,False,False,False
add new content with category,7,Click the 'Options' button to select options.,Click the 'Options' button to select options.,button,click,"getByRole('button', { name:'Options' })",click,"getByRole('button', { name:'Options' })",success,True,True,1,False,False,False
add new content with category,8,Select a category from the 'CATEGORY' dropdown.,Select a category from the 'CATEGORY' dropdown.,combobox,select,"getByRole('combobox', {name: 'CATEGORY'})",select,"getByRole('combobox', {name: 'CATEGORY'})",success,True,True,1,False,False,False
add new content with category,9,Click the 'Save' button to save the selected category.,Click the 'Save' button to save the selected category.,button,click,"getByRole('button', {name:'Save'})",click,"getByRole('button', {name:'Save'})",success,True,True,1,False,False,True
add new content with category,10,Click the Save button for saving content,,,,,,,,,,,,,
